Pisti,Tóth,1992,male,40
Ádám,Kerényi,1990,male,60
Lilla,Kiss,1993,female,55
László,Kozma,1969,male,55
Kristóf,Steiner,1960,notsure,30
Borat,Just,1965,notsure,33
Károly,Favágó,1970,male,55
Mikorka,Kálmán,1969,male,30
Hú,Zóra,1983,notsure,20
Ebéd,Elek,1991,male,45
Kerékgyártó,Mercédesz,1989,female,35
Ugyan,Márk,1973,male,55
Folyékony,Szilárd,1983,male,45
Kiszel,Tünde,1974,female,30
Hámori,Eszter,1991,female,27
Benedek,József,1986,male,33
Nyúl,Kálmán,1994,male,27
Riz,Ottó,1992,male,25
Reset,Elek,1942,notsure,50
